system:index,DATE_ACQUIRED,NDSI_mean,SPACECRAFT_ID,Trat_1,polygon_id,.geo
00000000000000000081_1_1_LT05_200034_19940111,1994-01-11,0.6795905750115696,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19940127,1994-01-27,-0.08827731246966508,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19940212,1994-02-12,0.0027767473085229723,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19940228,1994-02-28,0.3802965752302558,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19940316,1994-03-16,-0.3543274397872063,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19940417,1994-04-17,0.45306969640667694,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19940924,1994-09-24,-0.26594256687344014,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19941229,1994-12-29,-0.29583935164637765,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19950522,1995-05-22,0.284177947875735,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19951114,1995-11-14,0.10918972764064976,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19951216,1995-12-16,0.5292942683109899,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19960117,1996-01-17,0.30397015537999694,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19960202,1996-02-02,0.7228600864403556,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19960406,1996-04-06,0.0072712925906277025,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19960508,1996-05-08,-0.320085308784948,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19960524,1996-05-24,-0.3615071927485611,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1_1_LT05_200034_19960625,1996-06-25,-0.3695294221518584,LANDSAT_5,NI,668,"{""type"":""MultiPoint"",""coordinates"":[]}"
